number	author	text	title_in_memoir	year_of_text	citation_or_paraphrase	kind_of_literature	language	situation	performer	audience	place	repeat	person_who_recollects	memoirist	edition	place_of_edition	year_of_edition_min	year_of_edition_max	date_of_situation_min	date_of_situation_max	place_camp	occupation_of_memoirist	link_to_publication
1743	Сакральный текст	Новый Завет (Евангелие)	NA	NA	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенные	Польская Е.Б.	Это мы, Господи, пред Тобою…	Невинномысск	1998	1998	1949	1952	Новосибирская обл., Кемеровская обл., Сиблаг	NA	asfcd/auth/?t=page&num=792
270	Сакральный текст	Новый Завет (Евангелие)	NA	NA	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагерной больнице	FALSE	Санитар	Сомов Е.	Обыкновенная история в необыкновенной стране	Санкт-Петербург	2001	2001	1945	1945	Караганда, Карлаг	Санитар	asfcd/auth/?t=book&num=754
600	Сакральный текст	Новый Завет (Евангелие)	NA	NA	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенные	Чельцов М.П.	Воспоминания смертника о пережитом	Москва	1995	1995	1918	1918	Ленинград, Дерябинская тюрьма	NA	asfcd/auth/?t=page&num=5627
2119	Сакральный текст	Новый Завет (Евангелие)	NA	NA	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенная	Ясевич О.И.	Из воспоминаний	Москва, Нью-Йорк	1976	1978	1929	1929	Ленинград, тюрьма на Шпалерной	NA	asfcd/auth/?t=page&num=13198
946	Сакральный текст	Новый Завет (Откровение Иоанна Богослова)	NA	NA	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Козюра В.В.	Путешествие с образовательной целью	Харьков	2004	2004	1964	1971	Мордовские лагеря	Священник	asfcd/auth/?t=page&num=11594
569	Сакральный текст	Новый Завет (Откровение Иоанна Богослова)	NA	NA	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Петрус К.	Узники коммунизма	Москва	1996	1996	1939	1939	Красноярский край, Краслаг	NA	asfcd/auth/?t=page&num=3722
1772	Сакральный текст	Новый Завет (Откровение Иоанна Богослова)	NA	NA	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в тюремной камере	FALSE	Автор мемуаров	Ронкин В.Е.	На смену декабрям приходят январи…: Воспоминания бывшего бригадмильца и подпольщика, а позже политзаключенного и диссидента	Москва	2003	2003	1968	1968	Саранск, СИЗО	Инженер-технолог	asfcd/auth/?t=page&num=2847
644	Сакральный текст	Новый Завет (Послание апостола Павла)	NA	NA	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в тюремной камере	FALSE	Автор мемуаров	Крахмальникова З.А.	Слушай, тюрьма! : Лефортовские записки; Письма из ссылки; Я строю монастырь; Вместо эпилога; Духовная пустыня	Москва	1995	1995	1982	1982	Москва, Лефортовская тюрьма	Писатель	asfcd/auth/?t=page&num=13131
1191	Сакральный текст	Новый Завет (Послание к римлянам)	NA	NA	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Далан (Яковлев В.С.)	Жизнь и судьба моя	Якутск	2003	2003	1952	1954	Нижегородская обл., ИТК №1	Учитель истории, инженер-плановик	asfcd/auth/?t=page&num=11993
2094	Сакральный текст	Новый Завет (Послания апостола Павла)	NA	NA	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в тюремной камере	FALSE	Заключенная	Ясевич О.И.	Из воспоминаний	Москва, Нью-Йорк	1976	1978	1929	1929	Ленинград, тюрьма на Шпалерной	NA	asfcd/auth/?t=page&num=13198
